MeasureID,PlotID,Plot,Family,GenusSpecies,Genus,SpeciesName,SubSpeciesName,SpeciesID,Mnemonic,QuadratID,QuadratName,qx,qy,gx,gy,TreeID,Tag,StemID,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,ListOfTSM,Status
2,1,bci,Lecythidaceae,Gustavia superba,Gustavia,superba,NULL,460,gustsu,1250,4924,14.1,8.3,994.1,488.3,19,000002,1,NA,main,6,6,304,3,2005-10-14,"B,cylY",alive
3,1,bci,Myristicaceae,Virola surinamensis,Virola,surinamensis,NULL,1075,virosu,1250,4924,10.5,8.9,990.5,488.9,21,000004,1,NA,main,6,6,357,1.3,2005-10-11,NULL,alive
4,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1250,4924,13.5,18.3,993.5,498.3,23,000006,7,NULL,main,6,6,313,3,2005-10-14,"B,cylY",alive
5,1,bci,Burseraceae,Protium tenuifolium,Protium,tenuifolium,NULL,828,protte,1249,4923,12.7,9.3,992.7,469.3,24,000007,1,NA,main,6,6,456,1.3,2005-10-11,NULL,alive
6,1,bci,Moraceae,Brosimum alicastrum,Brosimum,alicastrum,NULL,108,brosal,1249,4923,1.9,13.5,981.9,473.5,25,000008,1,NA,main,6,6,1290,5.2,2005-10-14,"B,cylN",alive
7,1,bci,Burseraceae,Protium tenuifolium,Protium,tenuifolium,NULL,828,protte,1248,4922,3.7,16.5,983.7,456.5,29,000012,6,NULL,main,6,6,NA,NA,2005-10-11,"D,T",dead
8,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1248,4922,3,12.6,983,452.6,30,000013,2,NULL,main,6,6,492,3.2,2005-10-14,"M,B,cylN",alive
9,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1248,4922,3,12.6,983,452.6,30,000013,3,NULL,secondary,6,6,33,1.3,2005-10-14,NULL,alive
10,1,bci,Lauraceae,Ocotea whitei,Ocotea,whitei,NULL,1144,ocotwh,1248,4922,15.5,7.4,995.5,447.4,32,000015,2,NULL,main,6,6,NA,NA,2005-10-11,"D,S",dead
11,1,bci,Annonaceae,Guatteria dumetorum,Guatteria,dumetorum,NULL,445,guatdu,1248,4922,5.9,2.5,985.9,442.5,33,000016,1,NA,main,6,6,424,3.4,2005-10-14,"B,cylY",alive
12,1,bci,Anacardiaceae,Anacardium excelsum,Anacardium,excelsum,NULL,42,anacex,1247,4921,11.5,10.3,991.5,430.3,34,000017,1,NA,main,6,6,1656,3.4,2005-10-14,"B,cylY",alive
13,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1247,4921,11.6,11.8,991.6,431.8,35,000018,1,NA,main,6,6,368,1.3,2005-10-10,NULL,alive
14,1,bci,Moraceae,Poulsenia armata,Poulsenia,armata,NULL,802,poular,1247,4921,18.5,14,998.5,434,36,000019,6,NULL,main,6,6,528,1.9,2005-10-14,"B,cylN",alive
15,1,bci,Moraceae,Poulsenia armata,Poulsenia,armata,NULL,802,poular,1247,4921,18.5,14,998.5,434,36,000019,6,NULL,main,6,6,338,3.2,2005-10-14,"B,cylY",alive
