quadratname,subquadrat,column,tag
0101,23,2,010036
0101,24,2,010044
0101,34,3,010060
0101,43,4,010094
0102,11,1,010126
0102,14,1,010175
0102,31,3,010250
0102,32,3,010238
0102,33,3,010202
0102,34,3,010197
0102,41,4,010257
0102,42,4,010227
0102,43,4,010219
0103,12,1,010304
0103,13,1,010317
0103,14,1,010355
0103,22,2,010285
0103,23,2,010333
0103,31,3,010398
0103,42,4,010382
0104,11,1,010410
0104,12,1,010427
0104,14,1,010453
0104,22,2,010425
0104,32,3,010503
0104,34,3,010476
0104,44,4,010464
0105,11,1,010516
0105,12,1,010538
0105,14,1,010558
0105,21,2,010526
0105,24,2,010550
0105,33,3,010576
0105,41,4,010617
0106,23,2,010644
0106,24,2,010653
0106,34,3,010671
0106,43,4,010683
0107,12,1,010714
0107,13,1,010722
0107,31,3,010787
0107,33,3,010764
0107,44,4,010750
0108,24,2,010844
0108,31,3,010880
0108,33,3,010855
0108,34,3,010852
0108,43,4,010864
0110,11,1,010972
0110,13,1,010994
0110,21,2,010977
0111,12,1,011084
0111,22,2,011072
0111,23,2,011100
0112,14,1,011215
0112,21,2,011163
0112,23,2,011199
0113,11,1,011266
0113,24,2,011320
0114,13,1,011452
0114,14,1,011480
0115,43,4,011653
0116,11,1,011690
0116,14,1,011761
0116,21,2,011694
0116,23,2,011740
0116,34,3,011773
0117,14,1,011884
0117,22,2,011832
0117,31,3,011954
0117,32,3,011937
0117,42,4,011933
0118,32,3,012051
0118,41,4,012062
0118,42,4,012042
0118,44,4,012013
0119,11,1,012065
0119,14,1,012097
0119,24,2,012091
0119,31,3,012147
0119,34,3,012112
0119,42,4,012135
0120,11,1,012165
0120,12,1,012185
0120,22,2,012181
0120,32,3,012269
0120,33,3,012240
0120,34,3,012231
0120,41,4,012281
0120,43,4,012250
0121,13,1,012314
0121,14,1,012328
0121,22,2,012296
0121,32,3,012362
0121,33,3,012340
0121,34,3,012339
0121,41,4,012374
0122,11,1,012380
0122,12,1,012396
0122,14,1,012416
0122,22,2,012393
0122,31,3,012444
0122,32,3,012442
0122,34,3,012426
0122,42,4,012434
0122,43,4,012431
0123,12,1,012460
0123,22,2,012458
0123,23,2,012467
0123,33,3,012484
0124,14,1,012533
0124,31,3,012589
0124,34,3,012549
0124,44,4,012545
0125,14,1,012614
0125,22,2,012595
0125,23,2,012604
0125,43,4,012645
0125,44,4,012624
0126,12,1,012685
0126,23,2,012703
0126,24,2,012707
0126,33,3,012727
0126,34,3,012724
0126,44,4,012722
0127,11,1,012770
0127,12,1,012791
0127,13,1,012799
0127,14,1,012835
0127,33,3,012851
0127,41,4,012884
0127,42,4,012861
0128,24,2,012956
0128,34,3,012967
0128,41,4,013005
0128,42,4,012978
0129,24,2,013023
0129,32,3,013061
0129,34,3,013043
0130,11,1,013080
0130,21,2,013089
0130,31,3,013143
0130,32,3,013139
0130,43,4,013127
0131,12,1,013165
0131,14,1,013192
0131,31,3,013231
0131,43,4,013219
0132,11,1,013241
0132,12,1,013267
0132,13,1,013272
0132,23,2,013276
0132,24,2,013291
0132,31,3,013338
0132,32,3,013325
0133,12,1,013362
0133,21,2,013351
0133,32,3,013395
0133,33,3,013384
0133,34,3,013380
0134,11,1,013410
0134,14,1,013451
0134,22,2,013420
0134,23,2,013441
0134,42,4,013478
0134,43,4,013470
0134,44,4,013457
0135,11,1,013505
0135,12,1,013533
0135,21,2,013511
0135,32,3,013591
0135,41,4,013612
0135,42,4,013577
0135,43,4,013570
0136,11,1,013615
0136,13,1,013651
0136,21,2,013631
0136,22,2,013635
0136,23,2,013663
0136,24,2,013667
0136,34,3,013690
0136,41,4,013743
0136,43,4,013701
0136,44,4,013684
0137,11,1,013752
0137,12,1,013782
0137,21,2,013757
0137,22,2,013770
0137,41,4,013881
0138,32,3,013899
0138,43,4,013898
0138,44,4,013892
0139,11,1,013900
0201,12,1,020033
0201,22,2,020022
0201,23,2,020048
0201,24,2,020052
0201,42,4,020087
0201,43,4,020084
0201,44,4,020062
0202,11,1,020121
0202,12,1,020139
0202,21,2,020123
0202,24,2,020164
0202,31,3,020239
0202,32,3,020235
0202,42,4,020214
0202,43,4,020204
0203,13,1,020279
0203,21,2,020257
0203,41,4,020331
0203,43,4,020316
0203,44,4,020298
0204,23,2,020385
0204,24,2,020387
0204,41,4,020450
0205,22,2,020468
0205,33,3,020543
0205,42,4,020551
0205,43,4,020548
0206,13,1,020600
0206,21,2,020587
0206,24,2,020629
0207,13,1,020728
0208,14,1,020828
0208,21,2,020802
0208,43,4,020871
0208,44,4,020848
0209,12,1,020896
0209,32,3,020940
0209,33,3,020918
0209,41,4,020953
0209,42,4,020930
0209,43,4,020923
0209,44,4,020913
0210,32,3,021006
